Place,The type of place,Year,Month,Cause of death (Russian),Cause of death (English),Flu related?,male deaths,female deaths,total deaths,deaths in orphanages,newcomers,babies up to 6 months,babies from 6 months to 1 year,babies from 1 year to 5 years,from 5 to 10,from 10 to 15,from 15 to 20,from 20 to 30,from 30 to 40,from 40 to 50,from 50 to 60,from 60 to 70,from 70 to 80,over 80,age is unknown,,,,,,,,,,,,,
Moscow,provincial city,1889,January,сыпной тиф,spotted fever,,9,2,11,0,1,0,0,0,0,0,1,2,6,1,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,брюшной тиф,enteric fever,,10,1,11,0,1,0,0,1,1,0,0,4,4,0,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,возвратная горячка,fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,тиф без означения формы,typhus,,4,4,8,0,1,0,0,0,1,0,0,1,0,2,1,1,1,0,1,,,,,,,,,,,,,
Moscow,provincial city,1889,January,послеродовая горячка,puerperal fever,,0,6,6,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,перемежающаяся лихорадка,remittent fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,оспа,smallpox,,2,1,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,скарлатина,scarlet fever,,37,21,58,0,3,0,3,29,17,5,2,1,1,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,корь,measles,,13,29,42,0,1,1,14,22,2,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,кровавый понос,bloody diarrhoea,,3,1,4,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,дифтерит,pseudomembranous inflammation,,37,49,86,41,1,41,2,29,7,2,2,3,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,круп,croup,yes,4,3,7,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,азиатская холера,Asiatic cholera,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,цереброспин. Менингит,spotted fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,коклюш,whooping-cough,yes,8,10,18,0,0,4,5,9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,сифилис,syphilis,,1,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,сибирская язва,Siberian plague / anthrax,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,сап,glanders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,рожа,wildfire,,12,9,21,8,2,10,0,1,0,0,0,3,1,2,1,3,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,крупозная пневмония,pulmonic fever,yes,52,39,91,0,3,2,0,5,4,2,6,10,8,17,15,16,0,2,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,болезнь органов дыхания,respiratory disease,yes,274,214,488,175,9,228,65,96,8,3,0,12,7,14,20,23,12,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,чахотка легких,pulmonary tuberculosis,yes,215,106,321,0,17,0,0,1,3,3,19,81,84,53,46,23,6,2,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,желудочно-кишечный катар,gastro-intestinal infection,yes,153,133,286,168,2,223,27,29,1,0,0,1,0,1,3,0,1,0,0,,,,,,,,,,,,,
