Name of a student,,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Place,The type of place,Year,Month,Cause of death (Russian),Cause of death (English),Flu related?,male deaths,female deaths,total deaths,deaths in orphanages,deaths in orphanages,newcomers,babies up to 6 months,babies from 6 months to 1 year,babies from 1 year to 5 years,from 5 to 10,from 10 to 15,from 15 to 20,from 20 to 30,from 30 to 40,from 40 to 50,from 50 to 60,from 60 to 70,from 70 to 80,over 80,age is unknown,,,,,,,,,,,,,
Moscow,provincial city,1890,January,сыпной тиф,spotted fever,,13,2,15,0,0,0,0,0,0,0,0,2,6,3,1,2,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,брюшной тиф,enteric fever,,9,3,12,0,0,1,0,0,0,0,0,3,7,1,0,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,возвратная горячка,fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
1,provincial city,1890,January,тиф без означения формы,typhus,,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,послеродовая горячка,puerperal fever,,0,9,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,перемежающаяся лихорадка,remittent fever,,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,оспа,smallpox,,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,скарлатина,scarlet fever,,38,31,69,0,0,1,1,4,32,22,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,корь,measles,,14,7,21,0,0,1,0,5,14,2,0,0,4,0,0,0,0,0,0,1,,,,,,,,,,,,,
Moscow,provincial city,1890,January,кровавый понос,bloody diarrhoea,,4,1,5,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,дифтерит,pseudomembranous inflammation,,17,25,42,8,12,3,20,2,15,4,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,круп,croup,yes,3,2,5,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,азиатская холера,Asiatic cholera,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,цереброспин. Менингит,spotted fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,коклюш,whooping-cough,yes,5,10,15,0,0,0,0,5,9,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,сифилис,syphilis,,3,1,4,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,сибирская язва,Siberian plague / anthrax,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,сап,glanders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,рожа,wildfire,,6,6,12,0,0,0,0,0,0,0,0,2,2,0,3,3,1,1,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,крупозная пневмония,pulmonic fever,yes,35,24,59,0,0,8,0,0,2,0,1,1,10,3,15,12,10,4,1,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,болезнь органов дыхания,respiratory disease,yes,205,155,360,56,60,4,155,38,87,6,2,1,7,9,10,20,17,6,2,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,чахотка легких,pulmonary tuberculosis,yes,269,122,391,0,0,6,1,1,7,0,4,19,106,100,71,59,21,2,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,желудочно-кишечный катар,gastro-intestinal infection,yes,118,97,215,62,53,2,149,28,30,1,1,0,0,3,0,1,1,1,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,несчастный случай,accidents,,7,3,10,0,0,0,0,0,4,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,самоубийство,suicide,,3,1,4,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,убийство,murder,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,алкоголизм,alcoholism,,6,1,7,0,0,0,0,0,0,0,0,0,2,2,1,2,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,рак,cancer,,24,32,56,0,0,6,0,0,0,0,0,0,0,6,11,19,12,8,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,January,заболевания нервной системы,diseases of the nervous system,,96,65,161,1,1,7,8,13,22,5,2,2,12,21,17,21,23,11,2,2,,,,,,,,,,,,,
Moscow,provincial city,1890,February,сыпной тиф,spotted fever,,9,2,11,0,0,0,0,0,0,0,0,3,4,2,1,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,брюшной тиф,enteric fever,,9,6,15,0,0,1,0,0,0,0,0,1,11,0,2,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,возвратная горячка,fever,,11,3,14,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,тиф без означения формы,typhus,,2,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,послеродовая горячка,puerperal fever,,0,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,перемежающаяся лихорадка,remittent fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,оспа,smallpox,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,скарлатина,scarlet fever,,29,24,53,0,0,2,0,4,21,19,7,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,корь,measles,,15,17,32,0,0,0,2,9,19,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,кровавый понос,bloody diarrhoea,,2,1,3,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,,,,,,,,,,,,,
12,provincial city,1890,February,дифтерит,pseudomembranous inflammation,,25,23,48,12,7,0,20,0,16,6,3,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,круп,croup,yes,4,2,6,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,азиатская холера,Asiatic cholera,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,цереброспин. Менингит,spotted fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,коклюш,whooping-cough,yes,6,10,16,0,0,1,3,8,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,сифилис,syphilis,,0,4,4,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,сибирская язва,Siberian plague / anthrax,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,сап,glanders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,рожа,wildfire,,7,5,12,2,4,0,6,0,1,0,0,1,1,1,0,1,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,крупозная пневмония,pulmonic fever,yes,33,27,60,0,0,0,1,2,1,0,0,2,8,4,10,6,17,8,1,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,болезнь органов дыхания,respiratory disease,yes,178,178,356,52,63,7,152,56,82,7,1,4,11,4,4,11,16,6,2,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,чахотка легких,pulmonary tuberculosis,yes,241,117,358,0,0,24,0,0,2,2,3,13,90,79,90,42,32,4,0,1,,,,,,,,,,,,,
Moscow,provincial city,1890,February,желудочно-кишечный катар,gastro-intestinal infection,yes,135,143,278,82,97,2,231,23,14,1,0,0,2,2,2,2,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,несчастный случай,accidents,,5,2,7,0,0,0,0,0,0,0,0,0,2,0,4,0,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,самоубийство,suicide,,2,1,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,убийство,murder,,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,алкоголизм,alcoholism,,7,1,8,0,0,0,0,0,0,0,0,0,1,5,1,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,рак,cancer,,20,36,56,0,0,3,0,0,0,0,0,0,0,3,19,14,15,5,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,February,заболевания нервной системы,diseases of the nervous system,,71,83,154,5,3,6,13,11,19,8,6,8,7,18,15,21,14,10,1,3,,,,,,,,,,,,,
Moscow,provincial city,1890,March,сыпной тиф,spotted fever,,9,2,11,0,0,3,0,0,0,1,0,0,3,4,2,0,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,March,брюшной тиф,enteric fever,,21,8,29,0,0,0,0,0,0,0,2,4,10,10,0,2,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,March,возвратная горячка,fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,March,тиф без означения формы,typhus,,8,3,11,0,0,0,0,0,1,2,0,1,3,2,0,2,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,March,послеродовая горячка,puerperal fever,,0,7,7,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,March,перемежающаяся лихорадка,remittent fever,,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,March,оспа,smallpox,,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,March,скарлатина,scarlet fever,,29,34,63,0,0,1,0,2,35,18,6,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,March,корь,measles,,23,26,49,0,0,1,4,9,28,6,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,March,кровавый понос,bloody diarrhoea,,4,0,4,0,0,0,22,1,15,12,6,1,0,0,2,0,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,March,дифтерит,pseudomembranous inflammation,,25,31,56,11,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,March,круп,croup,yes,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
