Place,The type of place,Year,Month,Cause of death (Russian),Cause of death (English),Flu related?,male deaths,female deaths,total deaths,newcomers,prisoners in transit,babies up to 6 months,babies from 6 months to 1 year,babies from 1 year to 5 years,from 5 to 10,from 10 to 15,from 15 to 20,from 20 to 30,from 30 to 40,from 40 to 50,from 50 to 60,from 60 to 70,from 70 to 80,over 80,age is unknown,,
Moscow,provincial city,1891,January,тиф сыпной,spotted fever,,19,9,28,0,2,0,0,0,0,0,3,8,8,4,2,3,0,0,0,,
Moscow,provincial city,1891,January,тиф брюшной,enteric fever,,25,11,36,1,0,0,0,0,1,0,8,16,7,2,2,0,0,0,0,,
Moscow,provincial city,1891,January,возвратная горячка,fever,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,January,тиф без означения формы,typhus,,3,4,7,0,0,0,0,2,0,0,1,2,1,0,0,0,1,0,0,,
Moscow,provincial city,1891,January,послеродовая горячка,puerperal fever,,0,11,11,1,0,0,0,0,0,0,0,9,1,0,0,0,0,0,1,,
Moscow,provincial city,1891,January,перемежающаяся лихорадка,remittent fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,January,оспа,smallpox,,1,2,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,January,скарлатина,scarlet fever,,11,11,22,0,0,0,1,13,6,1,0,1,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,January,корь,measles,,2,1,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,January,кровавый понос,bloody diarrhoea,,4,3,7,0,1,0,0,0,0,0,2,1,0,1,0,2,1,0,0,,
Moscow,provincial city,1891,January,дифтерит,pseudomembranous inflammation,,39,42,81,3,0,34,1,27,14,1,3,1,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,January,круп,croup,yes,2,3,5,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,January,крупозная пневмония,pulmonic fever,yes,57,31,88,3,1,0,2,5,0,0,8,7,15,17,13,18,3,0,0,,
Moscow,provincial city,1891,January,холера,cholera,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,January,цереброспин. Менингит,spotted fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,January,коклюш,whooping-cough,yes,5,2,7,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,January,сифилис,syphilis,,0,3,3,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,January,водобоязнь,rabies,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,January,сибирская язва,Siberian plague / anthrax,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,January,сап,glanders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,January,рожа,wildfire,,4,9,13,0,0,7,0,0,0,0,0,2,1,1,2,0,0,0,0,,
Moscow,provincial city,1891,January,пиэмия,pyemia,,3,6,9,0,0,0,0,0,0,1,0,2,4,0,0,1,1,0,0,,
Moscow,provincial city,1891,January,септицемия,septicaemia,,32,16,48,0,0,43,0,0,0,0,0,0,0,2,3,0,0,0,0,,
